exp_id,arm,style,checkpoint_step,prompt_id,seed,lora_weight,output_path,output_sha256,nearest_training_item,nearest_training_dhash,nearest_holdout_item,nearest_holdout_dhash,max_clip_cosine_to_training,most_similar_training_item_clip,near_copy_flag
EXP-026,EXP-022,retro-poster,300,VP2-shared,42,0.7,outputs/EXP-025/EXP-025__EXP-022__retro-poster__ck00300__VP2-shared__seed42__w0p7.png,e7a66a449f8d2b00e35fcc61c1b4787b9fcd06e124bba82c23a6e7c424322d34,DS-0065,28,DS-0120,27,0.43033,DS-0068,False
EXP-026,EXP-022,retro-poster,300,VP2-shared,42,1.0,outputs/EXP-025/EXP-025__EXP-022__retro-poster__ck00300__VP2-shared__seed42__w1.png,0be1f897dda56d2133ec8a1b2f45d94cc374a08c3a4a0b0fcd2b8e8a32b8f2c8,DS-0074,28,DS-0120,25,0.370497,DS-0068,False
EXP-026,EXP-022,retro-poster,300,VP2-shared,1337,0.7,outputs/EXP-025/EXP-025__EXP-022__retro-poster__ck00300__VP2-shared__seed1337__w0p7.png,9baa33f6cd9d6b591ea3668747184b3c1701447fa5dcfab9a9561b07c9429642,DS-0092,27,DS-0115,23,0.3473,DS-0090,False
EXP-026,EXP-022,retro-poster,300,VP2-shared,1337,1.0,outputs/EXP-025/EXP-025__EXP-022__retro-poster__ck00300__VP2-shared__seed1337__w1.png,9f5a7dfcd0b4af9c46532641087b74b1a93bc37a305ff05f1d0dbafe9471b157,DS-0073,29,DS-0103,26,0.37938,DS-0062,False
EXP-026,EXP-023,minimal-geometric,150,VP1-style,42,0.7,outputs/EXP-025/EXP-025__EXP-023__minimal-geometric__ck00150__VP1-style__seed42__w0p7.png,88d8e80d898d5baf1a4dbbb9638ae515d5e5bb5e8888c30f2d0fe125da95f0f0,DS-0037,23,DS-0048,24,0.486186,DS-0034,False
EXP-026,EXP-023,minimal-geometric,150,VP1-style,42,1.0,outputs/EXP-025/EXP-025__EXP-023__minimal-geometric__ck00150__VP1-style__seed42__w1.png,283188cdf3f8bdac449acd9f2a5b22dcb49b2eaf4431102fda7d8f51f3328344,DS-0033,25,DS-0048,25,0.483708,DS-0002,False
EXP-026,EXP-023,minimal-geometric,150,VP1-style,1337,0.7,outputs/EXP-025/EXP-025__EXP-023__minimal-geometric__ck00150__VP1-style__seed1337__w0p7.png,9ab8793ca27bc1d57b7c824ae47117236e5f7d98acd57e531670ad323a5acb19,DS-0003,20,DS-0079,28,0.608609,DS-0004,False
EXP-026,EXP-023,minimal-geometric,150,VP1-style,1337,1.0,outputs/EXP-025/EXP-025__EXP-023__minimal-geometric__ck00150__VP1-style__seed1337__w1.png,f35223c0c63c42f0cdf2b813e899bcab7ff70ce1c334bcd6fb8b44bce4a50b95,DS-0006,21,DS-0115,27,0.617991,DS-0042,False
EXP-026,EXP-023,minimal-geometric,150,VP2-shared,42,0.7,outputs/EXP-025/EXP-025__EXP-023__minimal-geometric__ck00150__VP2-shared__seed42__w0p7.png,44f63f660d7bd05628bf1b372061d18a54437493ff31cd8b1ebce1bfdf500be2,DS-0046,23,DS-0115,28,0.407359,DS-0043,False
EXP-026,EXP-023,minimal-geometric,150,VP2-shared,42,1.0,outputs/EXP-025/EXP-025__EXP-023__minimal-geometric__ck00150__VP2-shared__seed42__w1.png,f7dcc0404c3be5492e8a4222173c89207e6798c7bdeb4cccbf4b52b0ddbd5abe,DS-0043,20,DS-0120,22,0.536128,DS-0051,False
